,text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions
3213,E103955391AB,"Yeah we all have our own freedom but well that's not always true a lot of people let others control them. So it is said

Author Ralph Waldo Emerson wrote "" To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment""

Like i said we all have our own idividuality that what makes us we have our own way of being, own name and own way of looking we are just our selves. Specifically individuality shows us that not everything should be given to you if you want something you work hard for it but also it's a sign of your own development that you can do everthing by your self but it's because you are who you are and no one can change you. Therefore, itis proven that it's better to be individual than anybody else just giving you everything by hand .

""FREEDOM!"" is a good word all of us love to hear. When you realize you can do anything by yourself you feel like no one can stop or as free as the wind but theres always going to be obsticles without a doubt. To be Indivdual it can happen to any one such as a kid who has learned to do thier stuff alone or when you move out of your parents house and get your own home. It honestly can happen to anyone becuase thiers so many types to define the word individual. well to fell free is not a bad thing after all .

When your individual you mean something to this world because you think about yourself. You set your own goals and accomplish them and you maintian yourself the way you are it's even more better becuase it's the hugest goal anybody should have to not let anybody change you wreck all you have accomplished. To your self you feel like you value your self and it's not bad at all to value yourself because it biulds self confidence within you and that means you have you feet on the ground and yeah your ready to face any obsticale.

No one should define you except you because the world will defenitly try to change you but if you don't aceppt it won't happen like Author Ralph Waldo Emerson said ""To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment"" whom we have someone to look up to and understand that to be inividual is okay.",4,3.5,3,2.5,3.5,3.5
3540,F094225CAE4F,"I am agree with this idea because is the best opportunity not only to the hispanic people, well for everyone who want to follow his/her dreams, and has responsability or lower resources.

I think is great idea, because some students sometime or usually work. One reason why the students do not go to the high school is because they do not have enough time to do homework, study, or just hey want to make more money.

Rarely students really want to learn, or to feel like they need to go to the college or university, cause they have a few time to go to the high school. This idea is great and amazing to someone really dream and feel that the high school is the door to the college, university, or opportunity to do your dreams real. The advantage is if you finish high school in three years you have more probability to go to the college or university. The disadvantage is that three years would be very stressing and harding time, because you need really to focus in the high school and all that stuff like: homework, worksheet, project, study, or simple attention the class. The good news is you can do anything if you have purpose, if you have motivation and completely focus in your dreams and What do you really want to be or to do?. Do not worry is you feel fear that is normal everybody feel like that about the test, high school, or dreams.

I think is a big opportunity to me; well, I work and really need pass my last year, but sometime feel like ""I cant anymore"", and I want to leave or run of the high school and just work, and work, and work, but everytime I think like that just say me "" NEVER GIVE UP "", always remember everything I did, why am i here?,and How too far wil be go for my dreams?.

Sometime the life is very unjust, cause some people have the opportunity of study withouth work, While others people do not have chooses, and that is the situation where the hispanic people live today. Well, that it's my point and why I am agree with this awesome idea. I have been thinking this system or program will be helpfull and better for every student that the system we have today. My view is if you finish the high school in three years, will be more effective, easy, and fast to be gratuated.

Thank you for your attention. ",2.5,3,2.5,2,2.5,2
149,0B6316123881,"Duke Ellington said, "" A problem is a chance for you to do your best."" Do you think a problem is a good way to learn form your mistake? Learning from your mistake is a great way to know, what you did wrong, and how you can fix the problem.

What does he mean by "" A problem is a chance for you to do your best.""? A problem is a mistake you did, and doing your best is improving form your mistakes. Some people learn from their mistake, and others don't. People who do learn from their mistake can help others and their self.

I do agree that problems is a chance for all of us to do are best. Their some people who don't really care if it happens again. We should all care about our mistakes because if we didn't care our mistakes would happen again , and if that mistake was bad, then you should care.

I made lots of mistake like failing a grade because i didn't care about school , but then i change and stared to be more motivated and now that helps me work hard to get my dream job. One of my other mistake is my anger. I would always get angry but I always try to clam down because I would always take it out on people, but it won't hurt to try to learn form your mistakes.

Everyone can learn from their mistakes and it won't hurt to try. The benefits is knowing what to do when the mistakes happens again. Like what Duke Ellington once said, ""A problem is a chance for you to do your best.""",3,4,2,2.5,3,3.5
3257,E2E3D86A8CF8,"based on you experience , do you agree or disagree with Emerson statement should based on your experiences do you agree .

more support to try something do you more go up take more position you have more experiences you never go down should based on your experiences do you disagree

.

no position no ready for that no complete nothing should base on your experience do you agree because have more support in you will go never grow and you try something and you have more experiences . and when you have more experience you go more up it is passive do you have more opportunities and you ready for anything should base on your experience do you disagree because no complete nothing when anyone have experience or support with reason . and when you not have good reading you no go up because you need to practice you first and you go to that what are you doing but when you ready for that when one person no complete everything it is impassive go up . many person go to up because no is ready for that and when you have more experience is more easy for this person you need to ready .

everyone is passive to proper for that because is no easy when you have good experience you good because you state good end good position is more experience star and good position so many peoples no proper for that and is imposing you have good experience thats why you need to proper first my reading for that is more experience and more practice because is more easy for one person practice to that everyone is proper first and you states where you are and something you have so many ideas when you no understand nothing you need to ask your Principe or your teacher or you boss he give to you reason or good question for you or your life or when you complete everything is more easy for you or you understand everything that why you need to ask first so many people practice that so many people no practice nothing .",1,2,1,1,1.5,1.5
1626,7B5F5B33B566,"When people ask for advice

, they sometimes talk to more than one person. Have you ever wounder why that is the case?, if you are a person who does not take advice from another individual , then you could use this skill, taking advice from another person can help you make better life choices, it will make you understand things more clearly and faster, and learn from them. Multiple opinions really is a foundation to a job like a mayor of a city, it is vital to take advice from the community in order to address problems and concerns. If it was just a city with no voice in the community then the city would fall into a bad place which no one wants to be in and the key advice is to receive it.

In the world we live in, we make a lot of important choices in life, some are big and some are small, but they effect our future and success. Next, advice from others can make you more wiser when you make your own choices, if

Abraham

Lincoln never saw how African Americans were treated for there skin color he would have never signed the documents for slavery to be band. if he never got advice he mostly likely would have never Andres the problems with having that toxic racism. If it wasnt for him, it would still be here today thanks to out 16th President, which boils down to good thinking and advice. At some point in our lives I know we got advice from someone we look up too,also what ever the advice they gave you, is an add on to bigger things, for example if a parent or guardian gives you some advice to never quit on things or problems that are hard and difficult for you, with just that you will Carey that for the rest of your life. Which eventually make you more wiser and resistant to challenges and in life. You will have a mindset that will help you be more successful and a hard worker. When you are at that point you will know what is right and wrong, from advice from your remodel, father, and mother. Multiple opinions is like trying different types of food from different chefs and if you just try it, you will see something you might like, if you never try something you will never see a different possibility taking advice is just like that. Only instead its intellects make the right choice to help you.

In Conclusion, advice is there to help you, opinions are there to guide you to something that gives you smarts to making the right choices in the world we live in live, sure not all opinions hear might not be in your favor. But just hear them out and be the best you that you want to be shaped in, advice will make yo wiser and more aware of scenarios. ",4,3.5,3.5,4,3.5,3.5
490,2538542762C0,"One topic that is frecuently dabated is if the schools should control students involvement in extracurricular activities. Some people think that the school should take control of the students extra activities and extra time. They feel that students need more educational activities to enrich their knowledgement at school. I believe that students should decided what they want to do with their extra time after school because some students have to work to help their families, some students have to get home earlier to take care of their sibbilings while their parents are at work and students like to do some other activities like sports, art or homework.

First, students have to work to help their parents and sibilings, it could be difficult to work and study at the same time, you get tired and all you think is get home and sleep, students who work do not have time to study for a quiz, test or do homework. However. Study hall could help them finish their homework, students who work don't get involved in extracurricular activities bacause they don't have time to make it through. But also they work for saving money for college, this is an a good idea because you are investing for your future. That is why students who work have to give up with some other acctivities that they want to do.

Second, some students have to get home early to take care of their sibbilings while their parents are at work, most of them can't afford a babysitter, this students might have the time to involve in a club, probably when one of their parents have a day off. They can do homework or other assigments for school or home while they are taking care of their sibbilings like made food for them, clean the house, laundry etc. That can get difficult for them because they have different responsabilities at the same time that they have to take care of school.

Third, other students like to do different activities like sports, they like to exercide everyday after school, there are many sports that hey can practice such as bascketball, baseball, tennis, gymnastics, etc. other students like to do art, envirroment and learn another language they can sign up for any club that they are interested on. This students are deffinetly involve in extracurricular activities from school, but they decided what they want to do with this extra time and the school do not have to tell them what should they do.

As have you read this are my reasons why I believe schools should not take control of the students activities after school. When we get to know each others personal dreams and problems this world is going to change because we are going to understand how people work hard to get succes and happiness. ",3,2.5,3,2.5,3,2.5
2644,C3E8D00403D9,"Letter to Principal:

Some of my friends perform community service, but my other friends think it just waste of time. I am supporting that the principal should require students to perform community service. This is a great way to show to the community that you care. Students should know that community service is very important. Community service helps you and your community.

There are many reasons why students should perform community service. Performing community service helps your community and other communities. Your community will be cleaner and fresh. Not just students but everyone in this country should have community service. When your community is full with trash. No one will care, but you can make a change. You will need a helping hand to help you with community service.

In streets, public places, and school campus, there are people littering. If you care about your community, you should gather people to help you clean it. Even if the trash is not yours, pick it up. It is not just picking up trash. There are planting trees, etc. So, when you are done picking up the trash, you could continue planting trees and flowers. To make it stand out.

In conclusion, everyone should have the pride to carry out community service. Community service is like a helping hand. So every stu",4,4,3.5,3.5,4,4
1849,8B1EB1890F9B,"Company

I need a job!, I'm perfect for this job because i am responsable, hard worker and my commitment, if I get the job, will be completly with them. I want be part of you company because I know that you get a big boy with good worths to begin a new era together. My good effort will be important to accomplish my objetive in the visit, Learn.

About your company am interest in this, I could learn of a big place with big people, that make in me the question, Can I be like them?, and this projects in the schools is perfect to help me with that, the opportunies in the life just arrive one time in the life, the experience is important int his case this is a excellent place to learn more of the real word, to give us a lesson of life, my compromise is with you , your company, to do this a experience incredible in all aspects so that students that do not like the work, they are here to nothing more than all they never will be a examples or good worker to your company , the moment is now, me, I am who you are looking to be your next worker. I have dreams, I have goals and I want accomplish it, all is in your main idea referent of who you believe that you are, that is a important fact, this visit can help me to let you know who I am and why i like your company.

In this process you will help me about my interest in my type of employement, your help is indispensable in the case, this help I will never find one like this, I can't lost this is my moment to be part of you, is inevitable do not think in all good thing that you have for my future, think "" I have to demostrate them that Im the best in this school"", that is my objetive, be the best, some people think that the life is easy and that you do not have to follow you dreams, but no if you do not go, never will get your dream to be soccer player, doctor, teacher whatever, if nobody believe in you that doesn't matter you only keep going and be yourself, the school is a place where you find a lot ways to follow, be a professional or be nothing in the life, we are here in the world to be somebody to grow up in the society, the time continue and the years too and I don't want say one day ""why I dont accepted the job in the company?"", we are in a generation that do not know nothing about work to get your things or money, I don't want be like them, I want work ,begin a new era in my life with big things in my curriculum and get respect to my person in the society.

In conclusion, the life is one and we have to be somebody in it, opportunities like this you can't lost because are important for your future, job, experience and more things, never think that is sufficient because us brain can learn every day more and more things, this littles steps will be biggest in the future, that future where you are who you want be, that future where your son admire you and that future where the people are pride of you, is simple if you want, you'll be, the experience that I could find in this company is important, is how I will do the work in the future, is how I will perform my legacy.",2.5,3.5,3,3,3.5,3.5
2807,CD4135EAFB1E,"A Author Ralph Waldo Emerson wrote, ""Unless you try to do something beyond what you have already mastered,you will never grow. Some will said you'll grow but won't reach their beyond what they mastered. Some will disagree with Ralph Waldo Emerson statement, because doing something beyond that already master will never stop you from doing it. In the pass year I played a Villain before I reach goal becoming beyond with a instrument that I didn't know how to play, I master how to soccer for the first when I was little, and at the end of the day your going to be beyond great when you don't give up.

When I was 6th grade in middle school I never though I was going to learn how to play instrument for the first time in my life. The instrument that I'm now play is Villain my brother though I wasn't good enough to play a instrument. I practice every days to get better and to try my best. I played three year in middle school I was getting good and then I love how sound made with bows and string. The teacher once said if stop playing then your going to forget the string note and how to used correctly. When I got to middle I learned how to play a interment for the for time in my life become beyond. I didn't stop growing I kept growing to become better to play.

Why won't we reach our goal then become beyond because doing something beyond your reaching a goal to finish. This was a time where I want to learn how to play a sport. When I was little I wanted to play soccer but I didn't started learning until I was 10 years old. My goal was to learn how to play soccer, until one day I was at the park with my family and friend I learn how to play soccer. My uncle tough me how to played soccer for the first time.

He showed me how to kick the inside and outside of my feet. My uncle told me that I was fast learner that I kicked correctly with forced. So we played soccer just kicking back and forth until knew how to kick. When I was 7th grade I sign up for the girl soccer team for the school. When I made the team I was exacted because I never though I going play for school soccer team and it was the first to play. The couch liked how I played but my friend though I was beyond great but I didn't believe them. When I got to 8th grade I wanted to sign up again because some of my friend was joining, then when I made in the team next then I know they voted for me to become captain for the girl soccer team. The coach was beyond how I played for the game I made 8 goal in the season but I never stopped playing soccer. Until the moment in my life I knew that I had master my goal.

I'm 16 year old about to turn seventeen in July I have reach so many goals in my life and then it when beyond. I learn so many thing on my own because my parent didn't know English. At the end of day I had teacher and friends that help me all my school year. The one key that my parent tough me was never give up on yourself, if you don't understand the problem then go to the next problem then come back to finish the rest. So all this year I learn how to play a instrument that was a villain and playing a sport that love I become beyond great and master to become better. I grew up become better the thing I love the most and did it because I had sibling following my foot step since I was the oldest in my family.",2.5,2.5,2,2,2.5,2.5
2794,CC2EC6C74865,"Success consists of going from failure to failure without loss of enthusiasm because to have success is important to do a great effort. It is very important in the life, but to learn the value that it has sometimes failure is also necessary. Also success is not something easy to get, but without loss calm could get it with enthusiasm. Success has an role important in the life of many people since it is something that is necessary in their academic level, their jobs, and their goals to have a better future.

First, success is difficult to get at the academic level, but the students need know that although they are failing with effort they could get it. Since to get it, they need to study a lot without loss the hope of getting success. Also they need to practice each step to do more easy their activities and have a better success. For example: if students loss any test they need to study and practice a lot to get their success with enthusiam. For this reason, the importance of the success also depend of failure to failure to learn.

Second, in the work, the success depend of many dedication and is absolutely necessary working a lot to get it. If the employees is not working well, the problem could be that the company not could have success and the employees could be exonerated of their jobs. Moreover, if they are exonerated their jobs, they need to looking for another jobs without loss the calm to get their new jobs with a great enthusiasm. For example: An employee was farawell for does not a good report, but continuous practicing and learned to do a good report after that the employee found a good job did a very nice job. Sometimes the success in the work is not easy to get, but neither impossible.

Finally, the people have many goals in their future, but also have obstacles to get success. The goals are difficul to accomplish, but not difficult to do. Furthermore, to realize their goals, they need to keep completely firm their ideas to find the success. Sometimes, they can failure, but they have the capacity to do anything and accomplishment their success for example, A family want to go to the beach, the problem is that they do not loss money to their vactions, yet they were to the beach because winning money working hard and with a great emotion they arrived to the beach. All goals can get with dedication and effort.

In conclusion, from failure to failure, the success can be possible and get it with a great enthusiasm. In the academic level, job and goals for future there are not impossible to accomplish the success. Does not matter the difficulty that everything have, the most important is realizing all with success, but without loss enthusiasm. Success is important, but the most important is learning to surpass failure to get it with enthusiasm. ",3,2.5,2.5,2.5,2,2.5
