,text_id,full_text,cohesion,conventions,grammar,phraseology,syntax,vocabulary
318,1721F085F81E,"I disagree with this statement because your first impressions of someone or something can change overtime. When you first meet someone you automatically get an impression of that person from the way they dress, or the way they speak basically the way they do things.

Now a days people jump into conclusions, they never met the person, they just go off upon looks. For example say a teenager is wearing all black with ripped jeans and they got their pants down low, adults are going to think that teen is possible a gangster or a thug but thats not the case, thats just the style now a days.

First impression can change overtime, once you get used to something your mindset changes, say you meet a friend and you guys start talking and your friends starts giving you an attitude, your going to assume that your friend doesn't like you so you keep that mindset. Yall start talking again and this time it's going way better, you and your friend are laughing, overall just having a good time now your opinion has changed towards the person.

there was this guy he started to stare at me every few seconds so i thought he had a problem or something but he looked familiar but i couldn't figure out where i've seen him from, later that day he ended up being in my last block class, the teacher made the class work in pairs so i got up and asked the guy if he wanted to be my partner, he said sure and we began working, we started talking about random things until he said ""you look familar"" then he said didn't we go to the same middle school together, then it clicked I was friends with this guy back in middle school and haven't seen him in a long time, after that day we began talking almost everyday.

The first impressions aren't always impossible to change, you learn to change your mind overtime and start accepting things for what it is.          ",3.5,2.5,3,3,2.5,3
2666,C52B76D995C6,"Generic_Name

Where i would like to visit

3/21/18+C3

If I had to choose a place to visit i would choose Brazil. I would go to Brazil to learn and expertise many new things. I could learn how to speak Portuguese, I can find out how Brazilian food is or i could even learn how to make it. I would even go and see one of the famous parades held in Brazil, one of my friends went to Brazil to see the parade and he said ""It was beautiful."" Going to Brazil would be great.

I would like to learn Portuguese because I could get along with the people and even be friends with them. I could even ask for directions if i didnt know where i was going.

I would like to try out Brazilian food. I would want to try it because I never had it. It would want to know how it taste and if i like it i would try to learn how to make some of their foods. I would try to make it because I could make it at home and never forget about my experience with Brazilian food.

I would like to go and see the Fantastic Parade in Brazil. I would see it and take many pictures and never forget about it. I would like to know how it feels to watch a parade that everybody loves.

If i go and do all of this i would never forget about it. I would always remember the good times i had in Brazil. I never forget about the expertise I had.                         ",2.5,2,2.5,2.5,2.5,2.5
1660,7E109A7AC169,"The first thing to consider, is that one person is not going to behave the same way as someone else, and all people are not going to act the way as they did when they were kids. Depending on the way people are raised they may change their behavior over time. If you are brave enough you can choose who you want to be, and you can guide yourself. Everyone is going trough something at this moment, and these are not always good things. People may experiment terrible incidents that are going to change their life forever.

These events are just going trough your life, and sometimes there is nothing you can do to make it different. All these things may change you character behavior. Anyone's personality is going to change if they are not aware of what they are doing, and these actions will lead you to live horrible moments. At this point you no longer have control over your actions and just doing what you want, maybe not knowing what your character has turned into.

On the other hand; will realize what is going on around their live as they grow up, and they are not afraid to know what is happening, they will use this problems to become stronger. As time passes; they will go trough different issues, experiment different changes, but they just don't pay attention to it, and do what they want. Those people usually have control over their life and decide whether they want to change or not. A lot of people around them will try to hurt make them feel different.

For some people is easy to just not care about anything and just care about themselves, it could be a good thing because not anyone is going to make you feel bad. Over time they become smarter, stronger and tougher, but they also know if they need to change something in their life. They were just raised in a different way and a different place that is why they will act different to the rest of people because they also know what is best for them, when something bad is happening they know how to handle it.

These situations may change anybodies personality and eventually they will become a complete new different person. it just depends on the actions they choose to do and the way they see the world. it could be because of tragedies, maybe many bad people around them, they could change if they wanted to. There is many possibilities and reasons for people to change and it will happen at any given point and when they realize it, they are completely different.

It just depends on the way of your thinking, only you can decide if you want to be different, some people may have a weak or strong mind. Some situations are just defined as drastic events that could happen to you and there is nothing you can do about it if you wanted to make it better, only you know if you can handle it. You can confront it or let it change you. Some people will form their own character, or because they don't know what to do anymore. As log as you are aware of what you are doing, you will know what is best for you.                                       ",2.5,2,2,2.5,2,2.5
2525,BB8064D7B327,"My friend is home schooled because she use to get bullied a lot so she wanted to drop out, she could'nt deal with it anymore. Her counselor gave her a better option taking online classes because she had very good grades and she wanted her to graduate and have a good future. In some schools they offer distant learning as an option for students to attend classes from home by way of online or video conferencing. I think getting home schooled is a good benefit for students who have situations at school, for student drop outs, and it's easier and quicker.

The primary reason on why it's a good benefit, it's that it helps you if you have bad situations at school such as you always get into fights with other students, you are getting harassed or bullied, you have problems with your teachers, or you think you're wasting your time and you could be working and getting money. Having online classes can help you stay out of trouble or helps you stop what ever you are dealing with. Not only it stops the situation but can help you improve and graduating with no problem. If you are having problems talk to your counselor and ask for a possibility for online classes or your parents if you can get home schooled.

Secondly, it benefits the students who are dropping out of school. Most of the students who are dropping out are for financial reasons like, they want to help there family so, they drop out and start working or some teens get pregnant at a young age and there parents most likely they dont support them or help them in anything that they need so, it causes them to drop out. It helps them further there knowledge and can possibly get a better job. It makes them feel happy knowing they can finish school because they know they already making a decision by dropping out but they can still graduate by taking online classes. I remember when i was at student counseling aide and one day a student came to ask me where should he leave his laptop because he was planning to drop out, he looked upset. Generic_Name ask him why? he answered ""i wanna help my family out they dont have any money right now"" she gave him an option for online classes he didnt know it was possible to do that and It made him happy.

Finally, getting home schooled is easier and quicker. You can take your classes when ever you are free. If you need to take a break, you can and continue when ever you are ready. it's non-stressful comparing to regular school. Its proven that getting home schooled its less stressful than regular school. Generic_Name is a science teacher at SCHOOL_NAME he said ""88% students are stressed about school because of homework and not having to finish assignments on time"". He also said ""only 5% are stressed when they are home schooled"". In conclusion, it's less stressful and help you feel non-pressured while you are taking your online classes. It also, gives you free time and gives you advantage to do what ever you like. You get to be home and relax wake up when ever you like to, do your classes take brakes if you would like to, too me it sounds amazing!

Some people might say that getting home schooled is bad because if you have any qu+C4estions you dont have a teacher to ask or a physical teacher to help you understand the topic you are learning about but it's a one on one class. There's no students just you and your instructor, it helps you focus which i personally think it will help you more comparing sitting in a class room with your friends not paying attention, playing around or not getting work done. I think it's a good benefit having online classes because it helps with people who have bad situations at school, people who are planning to drop out and its a fast and easier way to get your classes done.",2.5,2,1.5,2,2,2
366,1BE17E2DA549,"The qualties that make person individual or unique is, to not make any difference between society.

Be sure that you're working in the right path all by your self, and be greatfull, powerfull, be honest, not making any bad disesion not making any problem for society, and last but not least, have a strong felling of wanting to have something or wishing for something to happen.

If you have strong belife in god or in the doctrines of a rilegon, you'll be successfull in your life because it's him that give you all those idea and knowledge, that you can write an essay something like this.

So you just have to be faithfull, and trust him, that's the only way that he can help you and then be an accomplishment.

Something that has been successfully, it's beacuse of you pushed your self you put all effrot and work on you, and that's all beacuse of one goal and that is a great accomplishment.

We have to follow those poeple who were successed in their life of time, we have to see what they did to their society, what honor they had/have for us to read and follow the path they followed.

I think that's another way to be successed.

I'm compeletly agree with this statement that says ''To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.''

Because if you have those kind of seccessfull people in your society then you will have better society, better world and better education for the future.",2.5,2,1.5,2,2,1.5
3172,DF149975C610,"I agree with emerson's statement. I will grow every day, I do best in life. When I wake up most days, I think on my goals. I will reach my dream in my school to grow better in Algebra. I will grow in my school , to improve my english. to set up my plan to become a doctor. I study hard every day. I can do this finish my goals. I work hard. I feel tired most all the time , but that is not my stop sing to leave my school. I will finish finish as soon is possible I will be satisfied getting my goals done.

I disagree we don't have to challenge other person's to do better. Some people they are satisfied what they have,for example job,school, and other activities. may be they still in high school and they are no ready to go to the next level to go the college.

In my case, I want more challenge on me to have a better job, better opportunities, to support my family. Majority of people think, I can't complete my studies or finish my school. I believe on me, I will grow up to see my self in a good job, I will grow in Math, english and History. I believe also some people, are happy what they have in life. Further they will discover new ideas, to put in order to bring on their future plans to move on to the next activity or achivement.

People grow evendough, when they have done journey in life to achieve their goals. I saw some students today. They were my classmate in the same school where I done too, now present day some of them are lawyers, profesors, and doctors. Solutions I agree we should learn new things in life, is important to have wisdom to share. I agree I can get my High School Diploma.

I will motivated people to back school to done education. To do progress in life, we do have to find the excited things what should like to do. If we are good in soccer, let's go play soccer. if we like music, we should find the ways how to learn to sing. I agree I'm the solution to get things done one of them my education. I disagree I am no the problem to stop my goals.

Finally with effort one day, I can be a doctor. I know is no goig to be easy. I love dificult things on me to get my dream to become thrue.

satisfied is a word I will declined, I will see my self with my family, friends, and teachers given me my diploma. I respect people, is satisfied with their goals.

In my opinion, if we have the opportunity to have a better future. We do have to challenge our soul. To become a such a profesional to help our world. We should live in peace, a share the wisdom, and love around the world with people. ",2,1.5,1.5,1.5,1.5,1.5
2370,AFF314E99BF2,"seeking multiple ideas can be good because...

they can give you good ideas and you can see that people think different.

you will be able to have multiple choices to pick from and make the right decision.

you can even meet new people while your at it and also they can help you see it in another perspective.

Are you having a hard time deciding something? if you are you should talk to other people and see what they think its good to see what others think because, they can help you decide and give you great ideas,for example i had a friend and she would help me decide all the time and she would give out great ideas and i would pick the right decision with her help.

Also they can give you ideas and you can decide what is the best one and you can make the right decision and see what is the best idea and you can make the right decision not just that but you can see how others think and they might think different from how you think for example if you think that chocolate is better and your friend thinks strawberry is better then you should give a try and see if you made the right decision by picking strawberry instead of chocolate or she might be wrong and chocolate is better then strawberry but you will never know in till you try it.

Perhaps they can help you see things in another perspective,also you can make new friends while your at it,but not just that you can share your ideas as well and they can see what you think and help you out if your stuck and they will tell you if your doing something wrong and help you out and see it in another perspective,you might think that going to the movies is better and your friend might think that staying at home and watching a movie is better and she starts telling you why its better and you end up staying home and watching a movie because the reason she gave you where good.

You should give new things a try to because you will never know if its a good idea or not just ask your friends on what you should do during the weekend and they will help you and you will be able to try new things and take new ideas from that and its also nice to talk to someone and share ideas it will keep your mind off things and you wont be as stressed because you will have someone helping you.

those are the reason i think you should be seeking ideas not just from one person but from more and i think you should give it a try and see how it goes and hopefully it goes well because it works for me so give it a try hopefully i helped you see things in another perspective.       ",2,1,2,2.5,1.5,2.5
2566,BEE04EB31D59,"What is the best leaning environment? Working in groups or working alone? Some people like to work in groups and others like to work alone. Many people have their ways of learning certain things. Some may like working in groups because it makes the work easier, bring up their confidence and social life. Others may like working alone because it helps people concentrate, they like to get their work done faster and they don't feel uncomfortable towards other people.

First, Working in groups might make the work easier, help bring up their confidence, or their social life. It can make their work easier by separating the work to make it faster to deal with the work. It can help bring their confidence by talking to other people. It can help them bring courage to make new friends and learn about each other. It can also help them with their social life. Instead of being on their phones they are learning together and getting work done. They are also getting to know each other.

Second, Working alone can help people concentrate in their work, they could be fast workers, and they don't feel uncomfortable towards new people. It can help them by concentrating in their own work to feel more comfortable with themselves. They could be fast workers because they are not being distracted and they can go on their own speed. They won't feel uncomfortable or awkward by other people because some people don't like meeting or being with people. Most of them just want to be alone or with people they might know.

All in all, find what you feel more comfortable with it could be being alone or being in a group to study with people you might want to get to know or with your friends that your comfortable with. Working alone is the best choice for most people because they might be able to work faster, they are fully concentrated in their own hard work and they might just feel comfortable with themselves.",3.5,3,4,3,4,4
2009,97EF67C73A5E,"Students failure the game every time when we have a game with another team, because for some reasons they do not beat the game. Sometimes student do not sleep as well, or they do not have much energy to play, because they do not eat before start the game. Everybody needs to know before they have a game we need to eat healthy, and drink enough water. Sometimes famous death for that kind of reason, so we need to learn about the experience. Life is very important for everybody, so we need to look what's the first thing we can do before they think and act too.

Family is more important than the game, so they do not have time to practice. Sometimes family want to explore places for example; New York, Florida, and Boston that state has beautiful place to swim play, and we can do everything. That's why student do not have time to practice the game. Game is an important thing they can learn too much, and maybe in the future they can get a award like a professional or famous on games.

Some students do not have time to practice, because they need to work to pay the bills for example; pay the insurance for the car, pay the rent where they live, and also pay the bill for the cellphone. That's is the reason we do not have time to practice. That's why we failure the game, because we work at night and then we are going to school all day. When it is time to practice the game we do not have energy to play, so that is the cause we lost the game every time. We needed to work a part-time on that way we got more time to practice the game, so the next time we can win the game. Sometimes the family do not help them, because they said we need to learn how they make a money to obtain the food for each person.

Eating healthy is good for everyone, so we need to eat every day. Also we can eat fruit every time, because that has to much protein. That's is the first thing we can do before beat the team, because that make they strong. they need to go the gym too, because that help you to get a healthy body. Sometimes the first thing we can do is eating, and then go to sleep this is not a good choice for them.

Please help all the students who is trying to work and continuing to go to school, because they are the future on the world. We need to help them because sometimes we have a dream, but no body try to help that's why students can't realized they dreams. If they can continuing to study in the future they can earn to much money, because in the past it was hard for them, but now is more easily then the first time when they start                             ",2.5,2,1.5,2,1.5,2
432,20AA145EB328,"Some people believe in praising a students work to build self-esteem, even if the work is not the best effort. They believe that the students must be self confident in order to learn. Others believe that praise given to deficient work undermines learning by lowering standards. They believe the source of true self-esteem is achievement. True self-esteem is from achievement, it encourages students reach their goals, being a good role model , and being determined for their success.

Students self-esteem comes from achievement, once one goal is achieved students will have confidence, which will cause students to achieve more goals. Students achieving their dreams will encourage others to try their hardest to succeed more. Students will become better leaders by encouraging others to accomplish their dreams as well. This will give students a mindset to not give up easily. When students see others achieve their goals it gives them hope to be able to do the same, which leads to students trying their best to turn in their assignments on time and give their full effort on topics they're given.

However, students having success allows them to be good role models for older and younger generations. Students prove others whats like to achieve their goals and have the emotional support they need to continue their dreams. Students set a good example on how others can accomplish their own goals. Students having confidence and helping others achieve their dreams helps build their self-esteem, which helps students learn better about others and ways to accomplish more goals. Being a good leader will help in many different ways to succeed by, helping others with emotional support and guiding them to their dreams. Students will be very confident when their goals have been accomplished and helping others to succeed as well.

In conclusion, Self-esteem comes from achievement. Students build their self-esteem by encouraging students to try their best on assignments, having emotional support, and accomplishing their dreams. True self-esteem comes from achievement, it motivates and encourages students to reach their goals. Self-esteem leads students to become a good role model.       ",3.5,4,3.5,3,2,4.5
